question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall
Mã số thuế của CÔNG TY CỔ PHẦN DHA SURFACES là bao nhiêu?,Mã số thuế của CÔNG TY CỔ PHẦN DHA SURFACES là 0106769437.,"[""] Tên người nộp thuế: Hợp đồng sản xuất kinh doanh thông thường  \n[01b] Kỳ tính thuế: Quý 4 năm 2024  \n[02] Lần đầu: [1]  \n[04] Tên người nộp thuế: CÔNG TY CỔ PHẦN DHA SURFACES  \n[05] Mã số thuế: 0106769437  \n[06] Tên gọi thuế: [07] Mã số thuế:  \n[09] Tên"", ""# NGƯỜI NỘP THUẾ hoặc ĐẠI DIỆN HỢP PHÁP CỦA NGƯỜI NỘP THUẾ  \n(Chữ ký, ghi rõ họ tên; chức vụ và đóng dấu (nếu có)/Xác định)\n\nTRỊNH THỊ SANG\n\nKý điện tử bởi: CÔNG TY CỔ PHẦN DHA SURFACES."", ""7  \n[06] Tên gọi thuế: [07] Mã số thuế:  \n[09] Tên đơn vị: Hợp đồng dự kiến định hình doanh thu hoạt động sản xuất kinh doanh khác tính theo dòng thu chính:  \n[10] Mã số thuế của đơn vị kinh doanh khác:  \n[11] Địa chỉ nơi có hoạt động sản xuất kinh doanh k""]",Mã số thuế của CÔNG TY CỔ PHẦN DHA SURFACES là 0106769437.,1.0,0.8560629959529477,0.9999999999,1.0
Thuế giá trị gia tăng phát sinh trong kỳ Quý 4 năm 2024 của CÔNG TY CỔ PHẦN DHA SURFACES là bao nhiêu?,Thuế giá trị gia tăng phát sinh trong kỳ Quý 4 năm 2024 của CÔNG TY CỔ PHẦN DHA SURFACES là 129.511.633.,"[""] Tên người nộp thuế: Hợp đồng sản xuất kinh doanh thông thường  \n[01b] Kỳ tính thuế: Quý 4 năm 2024  \n[02] Lần đầu: [1]  \n[04] Tên người nộp thuế: CÔNG TY CỔ PHẦN DHA SURFACES  \n[05] Mã số thuế: 0106769437  \n[06] Tên gọi thuế: [07] Mã số thuế:  \n[09] Tên"", ""g doanh thu và thuế giá trị gia tăng hàng hóa, dịch vụ bán ra | [34]-[26]-[27]-[25] | 3.703.688.610 |\n| VII | Thuế giá trị gia tăng phát sinh trong kỳ | [36] | 129.511.633 |\n| VIII| Điều chỉnh tăng, giảm thuế giá trị gia tăng chưa khấu trừ của các kỳ trước"", ""ra chịu thuế giá trị gia tăng | [29] | 3.703.688.610 |\n| IV  | Hàng hóa, dịch vụ bán ra chịu thuế suất 5% | [31] | 0 |\n| V   | Hàng hóa, dịch vụ bán ra chịu thuế suất 10% | [32] | 344.675.400 |\n| VI  | Tổng doanh thu và thuế giá trị gia tăng hàng hóa, dịch""]",Thuế giá trị gia tăng phát sinh trong kỳ Quý 4 năm 2024 của CÔNG TY CỔ PHẦN DHA SURFACES là 129.511.633 đồng (chỉ tiêu [36]).,1.0,0.8742144154272724,0.5833333333041666,1.0
"Theo Nghị định 13/2023/NĐ-CP, sự im lặng của chủ thể dữ liệu có được coi là sự đồng ý xử lý dữ liệu cá nhân không?",Sự im lặng hoặc không phản hồi của chủ thể dữ liệu không được coi là sự đồng ý xử lý dữ liệu cá nhân.,"[""ng hoặc không phản hồi của chủ thể dữ liệu không được coi là sự đồng ý.\n\n7. Chủ thể dữ liệu có thể đồng ý một phần hoặc với điều kiện kèm theo.\n\n8. Đối với xử lý dữ liệu cá nhân nhạy cảm, chủ thể dữ liệu phải được thông báo rằng dữ liệu cần xử lý là dữ liệ"", ""mã hóa, giải mã, sao chép, chia sẻ, truyền đưa, cung cấp, chuyển giao, xóa, hủy dữ liệu cá nhân hoặc các hành động khác có liên quan.\n\n8. Sự đồng ý của chủ thể dữ liệu là việc thể hiện rõ ràng, tự nguyện, khẳng định việc cho phép xử lý dữ liệu cá nhân của"", ""nhiều mục đích nêu ra.\n\n5. Sự đồng ý của chủ thể dữ liệu phải được thể hiện ở một định dạng có thể được in, sao chép bằng văn bản, bao gồm cả định dạng điện tử hoặc định dạng kiềm chứng được.\n\n6. Sự im lặng hoặc không phản hồi của chủ thể dữ liệu không đư""]","Không. Theo khoản 6 Điều 11 Nghị định 13/2023/NĐ-CP, sự im lặng hoặc không phản hồi của chủ thể dữ liệu không được coi là sự đồng ý.",1.0,0.0,0.9999999999666667,0.5
Nghị định 13/2023/NĐ-CP quy định thời hạn thực hiện yêu cầu hạn chế xử lý dữ liệu cá nhân là bao lâu?,Thời hạn thực hiện yêu cầu hạn chế xử lý dữ liệu cá nhân là 72 giờ sau khi có yêu cầu của chủ thể dữ liệu.,"[""6. Quyền hạn chế xử lý dữ liệu  \n   a) Chủ thể dữ liệu được yêu cầu hạn chế xử lý dữ liệu cá nhân của mình, trừ trường hợp luật có quy định khác;  \n   b) Việc hạn chế xử lý dữ liệu được thực hiện trong 72 giờ sau khi có yêu cầu của chủ thể dữ liệu, với toà"", ""h của pháp luật.\n\n5. Việc xóa dữ liệu được thực hiện trong 72 giờ sau khi có yêu cầu của chủ thể dữ liệu với toàn bộ dữ liệu cá nhân mà Bên Kiểm soát dữ liệu cá nhân, Bên Kiểm soát và xử lý dữ liệu cá nhân thu thập được, trừ trường hợp pháp luật có quy địn"", ""<!-- page 1 -->\n\n# CHÍNH PHỦ\n## CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM\n### Độc lập - Tự do - Hạnh phúc\n\nSố: 13/2023/NĐ-CP  \nHà Nội, ngày 17 tháng 4 năm 2023\n\n## NGHỊ ĐỊNH\n### Bảo vệ dữ liệu cá nhân\n\nCăn cứ Luật Tổ chức Chính phủ ngày 19 tháng 6 năm 2015; Luật""]","Theo khoản 6 Điều 9 Nghị định 13/2023/NĐ-CP, việc hạn chế xử lý dữ liệu được thực hiện trong 72 giờ sau khi có yêu cầu của chủ thể dữ liệu, với toàn bộ dữ liệu cá nhân mà chủ thể dữ liệu yêu cầu hạn chế.",1.0,0.8329825785775012,0.99999999995,1.0
Dữ liệu cá nhân nhạy cảm theo Nghị định 13/2023/NĐ-CP gồm những loại thông tin nào?,"Dữ liệu cá nhân nhạy cảm theo Nghị định 13/2023/NĐ-CP gồm các thông tin gắn liền với quyền riêng tư của cá nhân mà khi bị xâm phạm sẽ ảnh hưởng trực tiếp tới quyền và lợi ích hợp pháp của cá nhân, bao gồm quan điểm chính trị.","[""hích từ ngữ\n\nTrong Nghị định này, các từ ngữ dưới đây được hiểu như sau:\n\n1. Dữ liệu cá nhân là thông tin dưới dạng ký hiệu, chữ viết, chữ số, hình ảnh, âm thanh hoặc dạng tương tự trên môi trường điện tử gắn liền với một con người cụ thể hoặc giúp xác địn"", ""ười cụ thể không thuộc quy định tại khoản 4 Điều này.\n\n4. Dữ liệu cá nhân nhạy cảm là dữ liệu cá nhân gắn liền với quyền riêng tư của cá nhân mà khi bị xâm phạm sẽ gây ảnh hưởng trực tiếp tới quyền và lợi ích hợp pháp của cá nhân gồm:\n\na) Quan điểm chính t"", ""gắn liền với một con người cụ thể hoặc giúp xác định một con người cụ thể. Dữ liệu cá nhân bao gồm dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm.\n\n2. Thông tin giúp xác định một con người cụ thể là thông tin hình thành từ hoạt động của cá nhân mà khi""]","Theo khoản 4 Điều 2 Nghị định 13/2023/NĐ-CP, dữ liệu cá nhân nhạy cảm bao gồm: quan điểm chính trị, tôn giáo; tình trạng sức khỏe và đời tư trong hồ sơ bệnh án (không bao gồm nhóm máu); thông tin về nguồn gốc chủng tộc, dân tộc; đặc điểm di truyền; thuộc tính vật lý và đặc điểm sinh học; đời sống tình dục và xu hướng tình dục; dữ liệu về tội phạm và hành vi phạm tội; thông tin khách hàng của tổ chức tín dụng; dữ liệu vị trí cá nhân qua dịch vụ định vị; và dữ liệu cá nhân khác được pháp luật quy định là đặc thù cần biện pháp bảo mật.",0.6666666666666666,0.870694597522467,0.49999999995,1.0
Tên công ty nộp tờ khai thuế GTGT Quý 4 năm 2024 là gì?,Tên công ty nộp tờ khai thuế GTGT Quý 4 năm 2024 là CÔNG TY CỔ PHẦN DHA SURFACES.,"[""] Tên người nộp thuế: Hợp đồng sản xuất kinh doanh thông thường  \n[01b] Kỳ tính thuế: Quý 4 năm 2024  \n[02] Lần đầu: [1]  \n[04] Tên người nộp thuế: CÔNG TY CỔ PHẦN DHA SURFACES  \n[05] Mã số thuế: 0106769437  \n[06] Tên gọi thuế: [07] Mã số thuế:  \n[09] Tên"", ""<!-- page 1 -->\n\n# CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM\n## Độc lập-Tự do-Hạnh phúc\n\n### Mẫu số: 01/GTGT\n(Áp dụng đối với người nộp thuế thực hiện phương pháp khấu trừ cho hoạt động sản xuất kinh doanh)\n\n[01a] Tên người nộp thuế: Hợp đồng sản xuất kinh doanh"", ""7  \n[06] Tên gọi thuế: [07] Mã số thuế:  \n[09] Tên đơn vị: Hợp đồng dự kiến định hình doanh thu hoạt động sản xuất kinh doanh khác tính theo dòng thu chính:  \n[10] Mã số thuế của đơn vị kinh doanh khác:  \n[11] Địa chỉ nơi có hoạt động sản xuất kinh doanh k""]",Tên công ty nộp tờ khai thuế GTGT Quý 4 năm 2024 là CÔNG TY CỔ PHẦN DHA SURFACES.,1.0,0.8538780837549163,0.9999999999,1.0
Kỳ tính thuế của tờ khai GTGT trong file bctc.md là gì?,Không tìm thấy thông tin.,"[""2   | Thuế giá trị gia tăng mà các đơn vị đã được hưởng từ thuế GTGT cần phải nộp theo hoạt động sản xuất kinh doanh chung kỳ tính thuế | [40b]-[40a] |  \n| 3   | Thuế giá trị gia tăng cần phải nộp trong kỳ | [41] | 0 |  \n| 4   | Thuế giá trị gia tăng khác"", ""g doanh thu và thuế giá trị gia tăng hàng hóa, dịch vụ bán ra | [34]-[26]-[27]-[25] | 3.703.688.610 |\n| VII | Thuế giá trị gia tăng phát sinh trong kỳ | [36] | 129.511.633 |\n| VIII| Điều chỉnh tăng, giảm thuế giá trị gia tăng chưa khấu trừ của các kỳ trước"", ""] | 0 |\n| VI  | Xác định nghĩa vụ thuế giá trị gia tăng phải nộp trong kỳ: | | |\n| 1   | Thuế giá trị gia tăng phải nộp từ hoạt động sản xuất kinh doanh trong kỳ | [40a]-[36]-[22]-[37]-[38]-[39] ≥ 0 |  \n| 2   | Thuế giá trị gia tăng mà các đơn vị đã được h""]",Kỳ tính thuế là Quý 4 năm 2024.,0.0,0.0,0.0,0.0
Tờ khai thuế GTGT trong file bctc.md được nộp lần đầu hay không?,Không tìm thấy thông tin.,"[""ấp:.........................................................................\n8. Yêu cầu cung cấp dữ liệu cá nhân lần thứ:\n   a) Lần đầu \n   b) Khác:........(ghi rõ số lần đã yêu cầu cung cấp thông tin có nội dung nêu trên)\n9. Số lượng bản3:................"", ""| A   | Hàng hóa, dịch vụ hoạt động sản xuất (đánh dấu “X”) | [21] | [] |\n| B   | Thuế giá trị gia tăng được khấu trừ theo từng chuyển sang | [22] | 77.377.803 |\n| C   | Kê khai thuế giá trị gia tăng phải nộp ngân sách nhà nước | | |\n| I   | Hàng hóa, dịch"", ""................................\n\n7. Mục đích yêu cầu cung cấp: ...............................................................\n\n8. Yêu cầu cung cấp dữ liệu cá nhân lần thứ:\n   a) Lần đầu\n   b) Khác: .........(ghi rõ số lần đã yêu cầu cung cấp thông tin có""]","Tờ khai được nộp lần đầu, thể hiện qua chỉ tiêu [02] Lần đầu: [1].",0.0,0.0,0.9999999999666667,1.0
Người ký tờ khai thuế GTGT Quý 4 năm 2024 là ai?,Người ký tờ khai thuế GTGT Quý 4 năm 2024 là Trịnh Thị Sang.,"[""] Tên người nộp thuế: Hợp đồng sản xuất kinh doanh thông thường  \n[01b] Kỳ tính thuế: Quý 4 năm 2024  \n[02] Lần đầu: [1]  \n[04] Tên người nộp thuế: CÔNG TY CỔ PHẦN DHA SURFACES  \n[05] Mã số thuế: 0106769437  \n[06] Tên gọi thuế: [07] Mã số thuế:  \n[09] Tên"", ""# NGƯỜI NỘP THUẾ hoặc ĐẠI DIỆN HỢP PHÁP CỦA NGƯỜI NỘP THUẾ  \n(Chữ ký, ghi rõ họ tên; chức vụ và đóng dấu (nếu có)/Xác định)\n\nTRỊNH THỊ SANG\n\nKý điện tử bởi: CÔNG TY CỔ PHẦN DHA SURFACES."", ""<!-- page 1 -->\n\n# CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM\n## Độc lập-Tự do-Hạnh phúc\n\n### Mẫu số: 01/GTGT\n(Áp dụng đối với người nộp thuế thực hiện phương pháp khấu trừ cho hoạt động sản xuất kinh doanh)\n\n[01a] Tên người nộp thuế: Hợp đồng sản xuất kinh doanh""]","Người ký tờ khai là TRỊNH THỊ SANG, đại diện hợp pháp của CÔNG TY CỔ PHẦN DHA SURFACES, ký điện tử ngày 24 tháng 01 năm 2025.",1.0,0.846109090714339,0.49999999995,0.5
Tờ khai thuế GTGT trong bctc.md áp dụng theo mẫu số nào?,Tờ khai thuế GTGT trong bctc.md áp dụng theo mẫu số 01/GTGT.,"[""<!-- page 1 -->\n\n# CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM\n## Độc lập-Tự do-Hạnh phúc\n\n### Mẫu số: 01/GTGT\n(Áp dụng đối với người nộp thuế thực hiện phương pháp khấu trừ cho hoạt động sản xuất kinh doanh)\n\n[01a] Tên người nộp thuế: Hợp đồng sản xuất kinh doanh"", ""| A   | Hàng hóa, dịch vụ hoạt động sản xuất (đánh dấu “X”) | [21] | [] |\n| B   | Thuế giá trị gia tăng được khấu trừ theo từng chuyển sang | [22] | 77.377.803 |\n| C   | Kê khai thuế giá trị gia tăng phải nộp ngân sách nhà nước | | |\n| I   | Hàng hóa, dịch"", ""2   | Thuế giá trị gia tăng mà các đơn vị đã được hưởng từ thuế GTGT cần phải nộp theo hoạt động sản xuất kinh doanh chung kỳ tính thuế | [40b]-[40a] |  \n| 3   | Thuế giá trị gia tăng cần phải nộp trong kỳ | [41] | 0 |  \n| 4   | Thuế giá trị gia tăng khác""]","Tờ khai áp dụng theo Mẫu số 01/GTGT, dành cho người nộp thuế thực hiện phương pháp khấu trừ cho hoạt động sản xuất kinh doanh.",0.0,0.7652858435409056,0.9999999999,1.0
Thuế giá trị gia tăng được khấu trừ (chỉ tiêu [22]) trong kỳ Quý 4 năm 2024 là bao nhiêu?,Thuế giá trị gia tăng được khấu trừ trong kỳ Quý 4 năm 2024 là 77.377.803.,"[""g doanh thu và thuế giá trị gia tăng hàng hóa, dịch vụ bán ra | [34]-[26]-[27]-[25] | 3.703.688.610 |\n| VII | Thuế giá trị gia tăng phát sinh trong kỳ | [36] | 129.511.633 |\n| VIII| Điều chỉnh tăng, giảm thuế giá trị gia tăng chưa khấu trừ của các kỳ trước"", ""| A   | Hàng hóa, dịch vụ hoạt động sản xuất (đánh dấu “X”) | [21] | [] |\n| B   | Thuế giá trị gia tăng được khấu trừ theo từng chuyển sang | [22] | 77.377.803 |\n| C   | Kê khai thuế giá trị gia tăng phải nộp ngân sách nhà nước | | |\n| I   | Hàng hóa, dịch"", ""ra chịu thuế giá trị gia tăng | [29] | 3.703.688.610 |\n| IV  | Hàng hóa, dịch vụ bán ra chịu thuế suất 5% | [31] | 0 |\n| V   | Hàng hóa, dịch vụ bán ra chịu thuế suất 10% | [32] | 344.675.400 |\n| VI  | Tổng doanh thu và thuế giá trị gia tăng hàng hóa, dịch""]",Thuế giá trị gia tăng được khấu trừ (chỉ tiêu [22]) là 77.377.803 đồng.,0.0,0.8491786591567855,0.49999999995,1.0
"Giá trị hàng hóa, dịch vụ bán ra chịu thuế suất 10% (chỉ tiêu [32]) là bao nhiêu?","Giá trị hàng hóa, dịch vụ bán ra chịu thuế suất 10% là 344.675.400.","[""ra chịu thuế giá trị gia tăng | [29] | 3.703.688.610 |\n| IV  | Hàng hóa, dịch vụ bán ra chịu thuế suất 5% | [31] | 0 |\n| V   | Hàng hóa, dịch vụ bán ra chịu thuế suất 10% | [32] | 344.675.400 |\n| VI  | Tổng doanh thu và thuế giá trị gia tăng hàng hóa, dịch"", ""nộp ngân sách nhà nước | | |\n| I   | Hàng hóa, dịch vụ bán ra trong kỳ | [26] | 2.405.743.421 |\n| II  | Hàng hóa, dịch vụ bán ra không chịu thuế giá trị gia tăng | [27] | 0 |\n| III | Hàng hóa, dịch vụ bán ra chịu thuế giá trị gia tăng | [29] | 3.703.688.61"", ""g doanh thu và thuế giá trị gia tăng hàng hóa, dịch vụ bán ra | [34]-[26]-[27]-[25] | 3.703.688.610 |\n| VII | Thuế giá trị gia tăng phát sinh trong kỳ | [36] | 129.511.633 |\n| VIII| Điều chỉnh tăng, giảm thuế giá trị gia tăng chưa khấu trừ của các kỳ trước""]","Giá trị hàng hóa, dịch vụ bán ra chịu thuế suất 10% (chỉ tiêu [32]) là 344.675.400 đồng.",1.0,0.8595563510188144,0.9999999999666667,1.0
