question,answer,accuracy,relevance,conciseness,helpfulness,overall
Mã số thuế của CÔNG TY CỔ PHẦN DHA SURFACES là bao nhiêu?,Mã số thuế của CÔNG TY CỔ PHẦN DHA SURFACES là 0106769437.,5,5,5,5,5.0
Thuế giá trị gia tăng phát sinh trong kỳ Quý 4 năm 2024 của CÔNG TY CỔ PHẦN DHA SURFACES là bao nhiêu?,Thuế giá trị gia tăng phát sinh trong kỳ Quý 4 năm 2024 của CÔNG TY CỔ PHẦN DHA SURFACES là 129.511.633.,1,5,5,1,3.0
"Theo Nghị định 13/2023/NĐ-CP, sự im lặng của chủ thể dữ liệu có được coi là sự đồng ý xử lý dữ liệu cá nhân không?",Sự im lặng hoặc không phản hồi của chủ thể dữ liệu không được coi là sự đồng ý xử lý dữ liệu cá nhân.,5,5,5,5,5.0
Nghị định 13/2023/NĐ-CP quy định thời hạn thực hiện yêu cầu hạn chế xử lý dữ liệu cá nhân là bao lâu?,Thời hạn thực hiện yêu cầu hạn chế xử lý dữ liệu cá nhân là 72 giờ sau khi có yêu cầu của chủ thể dữ liệu.,5,5,5,5,5.0
Dữ liệu cá nhân nhạy cảm theo Nghị định 13/2023/NĐ-CP gồm những loại thông tin nào?,"Dữ liệu cá nhân nhạy cảm theo Nghị định 13/2023/NĐ-CP gồm các thông tin gắn liền với quyền riêng tư của cá nhân mà khi bị xâm phạm sẽ ảnh hưởng trực tiếp tới quyền và lợi ích hợp pháp của cá nhân, bao gồm quan điểm chính trị.",4,5,4,4,4.25
Tên công ty nộp tờ khai thuế GTGT Quý 4 năm 2024 là gì?,Tên công ty nộp tờ khai thuế GTGT Quý 4 năm 2024 là CÔNG TY CỔ PHẦN DHA SURFACES.,1,5,4,2,3.0
Kỳ tính thuế của tờ khai GTGT trong file bctc.md là gì?,Không tìm thấy thông tin.,1,2,5,1,1.25
Tờ khai thuế GTGT trong file bctc.md được nộp lần đầu hay không?,Không tìm thấy thông tin.,1,2,5,1,2.25
Người ký tờ khai thuế GTGT Quý 4 năm 2024 là ai?,Người ký tờ khai thuế GTGT Quý 4 năm 2024 là Trịnh Thị Sang.,1,5,5,1,3.0
Tờ khai thuế GTGT trong bctc.md áp dụng theo mẫu số nào?,Tờ khai thuế GTGT trong bctc.md áp dụng theo mẫu số 01/GTGT.,5,5,5,5,5.0
Thuế giá trị gia tăng được khấu trừ (chỉ tiêu [22]) trong kỳ Quý 4 năm 2024 là bao nhiêu?,Thuế giá trị gia tăng được khấu trừ trong kỳ Quý 4 năm 2024 là 77.377.803.,5,5,5,5,5.0
"Giá trị hàng hóa, dịch vụ bán ra chịu thuế suất 10% (chỉ tiêu [32]) là bao nhiêu?","Giá trị hàng hóa, dịch vụ bán ra chịu thuế suất 10% là 344.675.400.",5,5,5,5,5.0
"Tổng doanh thu hàng hóa, dịch vụ bán ra trong kỳ (chỉ tiêu [26]) là bao nhiêu?","Tổng doanh thu hàng hóa, dịch vụ bán ra trong kỳ (chỉ tiêu [26]) là 2.405.743.421.",5,5,5,5,5.0
"Giá trị hàng hóa, dịch vụ bán ra chịu thuế GTGT (chỉ tiêu [29]) là bao nhiêu?","Giá trị hàng hóa, dịch vụ bán ra chịu thuế GTGT (chỉ tiêu [29]) là 3.703.688.610.",5,5,5,5,5.0
Thuế GTGT đề nghị hoàn (chỉ tiêu [42]) trong kỳ Quý 4 năm 2024 là bao nhiêu?,Thuế GTGT đề nghị hoàn (chỉ tiêu [42]) trong kỳ Quý 4 năm 2024 là 0.,1,5,5,1,3.0
Thuế GTGT còn được khấu trừ chuyển sang kỳ sau (chỉ tiêu [43]) là bao nhiêu?,Thuế GTGT còn được khấu trừ chuyển sang kỳ sau (chỉ tiêu [43]) là 0.,1,5,5,1,3.0
"Giá trị hàng hóa, dịch vụ bán ra không chịu thuế GTGT (chỉ tiêu [27]) là bao nhiêu?","Giá trị hàng hóa, dịch vụ bán ra không chịu thuế GTGT (chỉ tiêu [27]) là 0.",1,3,5,2,2.75
"Giá trị hàng hóa, dịch vụ bán ra chịu thuế suất 5% (chỉ tiêu [31]) là bao nhiêu?","Giá trị hàng hóa, dịch vụ bán ra chịu thuế suất 5% là 0.",1,3,4,1,2.25
Tờ khai thuế GTGT bctc.md được ký và nộp vào ngày nào?,Tờ khai thuế GTGT được ký và nộp vào ngày 24 tháng 01 năm 2025.,1,5,4,2,3.0
Thuế GTGT phát sinh trong kỳ (129.511.633 đồng) và thuế GTGT được khấu trừ (77.377.803 đồng) chênh lệch bao nhiêu?,Chênh lệch giữa thuế GTGT phát sinh trong kỳ và thuế GTGT được khấu trừ là 52.133.830 đồng.,5,5,5,5,5.0
"Tổng doanh thu và thuế GTGT hàng hóa, dịch vụ bán ra (chỉ tiêu [34]) là bao nhiêu?","Tổng doanh thu và thuế GTGT hàng hóa, dịch vụ bán ra (chỉ tiêu [34]) là 3.703.688.610.",5,5,5,5,5.0
Nghị định 13/2023/NĐ-CP được ban hành vào ngày tháng năm nào?,Nghị định 13/2023/NĐ-CP được ban hành vào ngày 17 tháng 4 năm 2023.,5,5,5,5,5.0
Cơ quan chuyên trách bảo vệ dữ liệu cá nhân theo Nghị định 13/2023/NĐ-CP là cơ quan nào?,"Cơ quan chuyên trách bảo vệ dữ liệu cá nhân theo Nghị định 13/2023/NĐ-CP là Cục An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao - Bộ Công an.",5,5,4,5,4.75
"Theo Nghị định 13/2023/NĐ-CP, dữ liệu cá nhân là gì?","Dữ liệu cá nhân là thông tin dưới dạng ký hiệu, chữ viết, chữ số, hình ảnh, âm thanh hoặc dạng tương tự trên môi trường điện tử gắn liền với một con người cụ thể hoặc giúp xác định một con người cụ thể.",5,5,4,5,4.75
Chủ thể dữ liệu là gì theo Nghị định 13/2023/NĐ-CP?,Chủ thể dữ liệu là cá nhân được dữ liệu cá nhân phản ánh.,5,5,5,5,5.0
Bên Kiểm soát dữ liệu cá nhân là gì theo Nghị định 13/2023/NĐ-CP?,"Bên Kiểm soát dữ liệu cá nhân là tổ chức, cá nhân quyết định mục đích và phương tiện xử lý dữ liệu cá nhân.",5,5,5,5,5.0
Bên Xử lý dữ liệu cá nhân là gì theo Nghị định 13/2023/NĐ-CP?,"Bên Xử lý dữ liệu cá nhân là tổ chức, cá nhân thực hiện việc xử lý dữ liệu cá nhân.",5,5,5,4,4.75
Bên thứ ba theo Nghị định 13/2023/NĐ-CP là ai?,"Bên thứ ba theo Nghị định 13/2023/NĐ-CP là tổ chức, cá nhân ngoài Chủ thể dữ liệu, Bên Kiểm soát dữ liệu cá nhân, và Bên Xử lý dữ liệu cá nhân.",5,5,4,5,4.75
Nghị định 13/2023/NĐ-CP áp dụng đối với những đối tượng nào?,"Nghị định 13/2023/NĐ-CP áp dụng đối với:
a) Cơ quan, tổ chức, cá nhân Việt Nam;  
b) Cơ quan, tổ chức, cá nhân nước ngoài tại Việt Nam;  
c) Cơ quan, tổ chức, cá nhân Việt Nam hoạt động tại nước ngoài.",5,5,4,5,4.75
Điều 8 Nghị định 13/2023/NĐ-CP nghiêm cấm những hành vi nào?,Điều 8 Nghị định 13/2023/NĐ-CP nghiêm cấm hành vi xử lý dữ liệu cá nhân trái với quy định của pháp luật về bảo vệ dữ liệu cá nhân.,5,5,5,5,5.0
